#{"t_start": 1776778095.5306222, "env_id": "None"}
r,l,t,is_success
20.313295,600,4007.710503,False
57.029601,18,4008.572743,True
59.177583,26,4009.813867,True
23.043368,600,4038.462063,False
64.279957,33,4040.070593,True
-9.301373,40,4041.959332,False
22.801568,600,4076.632203,False
-12.113692,50,4079.000772,False
62.321961,27,4080.295257,True
19.158547,600,4109.108881,False
19.464533,600,4137.921548,False
-3.327109,39,4139.775781,False
21.527389,600,4174.403723,False
61.117879,28,4175.745334,True
-12.401226,34,4177.371758,False
23.259457,600,4205.907204,False
-2.947101,37,4207.670183,False
24.411607,600,4236.266002,False
18.627979,600,4265.081398,False
55.864612,14,4265.756234,True
-2.419687,39,4274.565725,False
55.177848,17,4275.402687,True
19.981216,600,4304.122698,False
24.73451,600,4332.904013,False
-0.833308,35,4334.601739,False
59.200028,22,4335.65701,True
61.1974,25,4336.860373,True
19.742151,600,4365.610918,False
57.8988,17,4366.431746,True
20.44066,600,4402.098223,False
60.461802,26,4403.361948,True
-7.774018,37,4405.110705,False
57.024098,17,4405.949707,True
59.767826,21,4406.973606,True
19.182333,600,4435.695051,False
57.616132,18,4436.568152,True
19.992703,600,4465.283029,False
-3.708224,59,4468.108524,False
59.669226,23,4469.223091,True
63.343284,32,4470.764695,True
-1.986438,34,4472.405083,False
19.736405,600,4507.202214,False
22.272531,600,4535.963255,False
21.460909,600,4564.823426,False
-13.297229,35,4566.478429,False
21.636928,600,4601.403499,False
-8.14236,37,4603.162758,False
53.903169,11,4603.701975,True
-4.008852,34,4605.324317,False
-8.723854,33,4606.901944,False
59.530784,22,4607.969585,True
21.316855,600,4636.904321,False
56.846935,16,4637.682683,True
24.041049,600,4666.57794,False
13.919554,600,4701.685069,False
21.336813,600,4730.509874,False
58.253607,21,4731.524861,True
-1.722981,36,4733.269065,False
-7.4752,35,4734.944585,False
23.046645,600,4763.857447,False
58.272709,22,4764.914294,True
64.130938,37,4766.844496,True
55.82907,19,4767.789118,True
2.688433,35,4769.48528,False
-7.949371,40,4771.389236,False
18.797042,600,4807.752264,False
21.587642,600,4836.733407,False
0.641424,35,4838.429601,False
15.61378,600,4867.398756,False
56.337868,15,4868.136408,True
57.003211,17,4868.966587,True
21.975245,600,4903.839145,False
