#{"t_start": 1773982596.0599632, "env_id": "None"}
r,l,t
57.815006,45,3831.005694
54.244151,10,3832.770208
63.821581,28,3837.637476
68.243483,40,3844.569238
59.339781,28,3849.456079
62.316618,25,3853.837478
60.103799,22,3857.701921
62.382715,26,3862.264329
61.514426,24,3866.472239
60.412559,21,3870.133215
53.151423,22,3873.975392
63.827411,29,3879.067092
61.176332,24,3883.143978
61.407597,25,3887.651385
59.539469,64,3898.621717
64.243515,48,3913.505163
56.938697,37,3919.752449
63.906984,71,3931.702056
58.383767,20,3935.086169
51.217797,58,3944.828052
55.131446,13,3947.025832
58.660141,19,3950.235828
61.475687,25,3954.469094
60.19451,20,3957.851215
60.724412,21,3961.401437
60.333573,22,3965.126498
58.763209,20,3968.489504
59.344833,22,3972.214619
61.347227,58,3981.951561
55.107564,57,3991.54573
63.268695,28,3996.246882
50.47886,1,3996.440786
63.24014,30,4001.50879
57.197209,17,4004.395428
55.715034,15,4006.92396
59.345172,21,4010.564636
58.951382,19,4013.870912
55.954442,12,4015.972506
62.015461,51,4024.810244
53.348762,8,4026.227224
63.73542,30,4031.492864
57.1885,17,4034.464483
63.723229,29,4039.561187
60.857699,25,4044.009787
57.46954,16,4046.84686
61.540121,25,4051.250952
57.674134,15,4053.87242
62.993252,28,4058.566244
56.916003,21,4062.206408
53.764188,8,4063.621388
55.253088,12,4065.716454
57.353566,15,4068.335162
55.18469,13,4070.595806
63.670733,64,4081.497322
62.999961,26,4085.885368
64.601157,31,4091.116336
59.495692,50,4099.524147
61.65224,27,4104.083829
53.156892,6,4105.111638
56.269077,13,4107.314462
58.810037,61,4117.579019
61.531087,23,4121.466959
57.49173,18,4124.523555
56.105119,13,4126.720031
55.258888,14,4129.115897
60.413059,24,4133.183397
64.823448,66,4144.456431
63.908909,30,4149.481306
57.235737,16,4152.200876
56.873624,14,4154.592146
64.305197,30,4159.643337
57.070589,14,4162.040094
61.864806,25,4166.293716
62.879338,60,4176.445619
62.551931,71,4188.550362
62.2692,24,4192.796001
59.448331,34,4198.756752
57.116279,18,4201.864516
58.981605,18,4204.927494
63.043242,26,4209.34429
60.528304,24,4213.408253
54.629881,12,4215.461037
59.775106,21,4219.03542
65.559832,69,4230.716374
57.361775,18,4233.769818
58.333955,16,4236.467571
66.635504,52,4245.181371
59.457138,19,4248.393119
59.433232,19,4251.598338
62.428852,27,4256.174934
55.553595,16,4258.862573
58.580354,64,4277.612096
58.359425,20,4280.971561
65.170682,48,4289.025006
56.8734,15,4291.563374
52.795423,6,4292.588274
61.585447,23,4296.447649
62.222702,27,4300.820043
59.038368,21,4304.37803
58.479191,16,4307.087053
55.426243,11,4308.953049
62.518146,26,4313.350424
65.347368,51,4321.89925
54.562319,9,4323.436248
63.04341,26,4327.916761
63.378647,48,4336.188373
58.13503,19,4339.478258
61.226047,23,4343.489136
55.331837,12,4345.612657
59.354989,20,4349.117362
62.292223,24,4353.298472
63.392981,29,4358.250419
59.22681,48,4366.629665
61.43431,24,4370.821913
57.374557,19,4374.145372
55.114814,58,4384.276178
63.723786,28,4389.176649
55.984296,14,4391.647751
63.217177,28,4396.577162
58.680855,20,4400.074718
60.387859,20,4403.532623
55.646782,66,4414.93484
62.733099,27,4419.635775
66.649033,38,4426.151017
61.36007,25,4430.489499
55.835274,64,4441.55429
60.535545,24,4445.692683
61.639725,26,4450.18272
54.937367,26,4454.691633
54.492342,11,4456.641424
59.643116,19,4459.961918
58.031746,17,4462.938131
57.727408,15,4465.577175
58.70016,20,4469.078945
62.210218,26,4473.647186
58.870489,44,4481.315735
63.848501,34,4487.221198
60.180854,52,4496.27732
59.347781,21,4499.944968
66.041863,36,4506.186997
57.676976,19,4509.501605
61.982529,26,4513.870502
61.924103,24,4518.075604
63.044781,26,4522.589185
62.171451,25,4526.949503
56.02608,16,4529.729376
61.96036,24,4533.880513
62.066334,25,4538.220439
61.111747,24,4542.394187
60.731838,24,4546.562692
61.313013,25,4550.709288
61.081012,25,4555.016478
55.994331,15,4557.644241
59.788752,20,4561.110589
58.841852,26,4565.601914
55.398799,11,4567.526776
58.941088,19,4570.836012
64.872444,31,4576.185927
61.126454,22,4580.012275
53.906664,8,4581.418312
